source	relation	target	Data_Source	Unnamed: 0	Subject	Relation	Object	Score	PubMedID	EvidenceSentence	PublicationTitle	Journal	Correctness	Confidence	Comments	Disease
BDNF	negativeCorrelation	DPP4	Manual													
BDNF	increases	NEUROG3	Manual													
ABCA1	hasVariant	ABCA1	Manual													
GCKR	regulates	GCK	Manual													
GCKR	hasVariant	GCKR	Manual													
MTHFR	hasVariant	MTHFR	Manual													
MTHFR	hasVariant	MTHFR	Manual													
MTHFR	hasVariant	MTHFR	Manual													
OGG1	hasVariant	OGG1	Manual													
COMT	hasVariant	COMT	Manual													
GHRL	decreases	CXCL8	Manual													
GHRL	decreases	CCL2	Manual													
GHRL	decreases	TNF	Manual													
GHRL	decreases	INS	Manual													
LEP	decreases	GHRL	Manual													
LEP	hasVariant	LEP	Manual													
CCL2	increases	CCR2	Manual													
CCL2	positiveCorrelation	CTSD	Manual													
TNF	increases	NFKB1	Manual													
TNF	positiveCorrelation	AGT	Manual													
TNF	increases	LIPG	Manual													
TNF	increases	PTGS2	Manual													
TNF	increases	CASP3	Manual													
TNF	decreases	SLC2A4	Manual													
TNF	increases	IRS1	Manual													
TNF	decreases	IRS1	Manual													
IRS1	positiveCorrelation	RPS6KB1	Manual													
IRS1	hasVariant	IRS1	Manual													
IRS1	hasVariant	IRS1	Manual													
IRS1	hasVariant	IRS1	Manual													
IRS1	negativeCorrelation	MACROD1	Manual													
IRS1	increases	INS	Manual													
IRS1	hasVariant	IRS1	Manual													
IRS1	hasVariant	IRS1	Manual													
INS	decreases	LIPG	Manual													
INS	increases	IRS1	Manual													
INS	increases	IRS1	Manual													
INS	increases	AKT1	Manual													
INS	regulates	BDNF	Manual													
INS	decreases	TNF	Manual													
INS	negativeCorrelation	PTPN1	Manual													
AGT	hasVariant	AGT	Manual													
AGT	positiveCorrelation	TNF	Manual													
AGT	hasVariant	AGT	Manual													
CR1	hasVariant	CR1	Manual													
DPP4	negativeCorrelation	BDNF	Manual													
MAPT	hasVariant	MAPT	Manual													
APOC1	decreases	CETP	Manual													
RPS6KB1	positiveCorrelation	IRS1	Manual													
CAPN10	association	SLC2A4	Manual													
SLC2A4	association	CAPN10	Manual													
NOS3	hasVariant	NOS3	Manual													
PON1	hasVariant	PON1	Manual													
LEPR	decreases	LEP	Manual													
LEPR	hasVariant	LEPR	Manual													
LEPR	negativeCorrelation	PTPN1	Manual													
LEPR	hasVariant	LEPR	Manual													
ACE	hasVariant	ACE	Manual													
AGTR1	hasVariant	AGTR1	Manual													
IL6	positiveCorrelation	WNT5A	Manual													
IL6	decreases	SOCS3	Manual													
IL6	decreases	SOCS3	Manual													
IL6	decreases	IRS1	Manual													
IL6	increases	STAT3	Manual													
GSTP1	hasVariant	GSTP1	Manual													
GLP1R	decreases	LEPR	Manual													
