PMID	PubMed Link	Title	Potential new genes
26424323	https://pubmed.ncbi.nlm.nih.gov/26424323/	Reciprocal Alterations in Regulator of G Protein Signaling 4 and microRNA16 in Schizophrenia	GDE1
30040841	https://pubmed.ncbi.nlm.nih.gov/30040841/	"Loss of Nogo-A, encoded by the schizophrenia risk gene Rtn4, reduces mGlu3 expression and causes hyperexcitability in hippocampal CA3 circuits"	RTN4
33143549	https://pubmed.ncbi.nlm.nih.gov/33143549/	Neuronal differentiation of induced pluripotent stem cells from schizophrenia patients in 2D and in 3D cultures reveals increased expression of the Kv4.2 subunit DPP6 that contributes to decreased neuronal activity	DPP6
31402430	https://pubmed.ncbi.nlm.nih.gov/31402430/	CRISPR/Cas9-mediated Knockout of the Neuropsychiatric Risk Gene KCTD13 Causes Developmental Deficits in Human Cortical Neurons Derived from Induced Pluripotent Stem Cells	KCTD13
32929213	https://pubmed.ncbi.nlm.nih.gov/32929213/	Transcription factor POU3F2 regulates TRIM8 expression contributing to cellular functions implicated in schizophrenia	"POU3F2, TRIM8"
30664768	https://pubmed.ncbi.nlm.nih.gov/30664768/	Dysregulated protocadherin-pathway activity as an intrinsic defect in induced pluripotent stem cell-derived cortical interneurons from subjects with schizophrenia	"PCDHA2, PCDHA3, PCDHA6,"
27897969	https://pubmed.ncbi.nlm.nih.gov/27897969/	Satb2 determines miRNA expression and long-term memory in the adult central nervous system	SATB2
30901725	https://pubmed.ncbi.nlm.nih.gov/30901725/	Blood and brain protein levels of ubiquitin-conjugating enzyme E2K (UBE2K) are elevated in individuals with schizophrenia	UBE2K
25027319	https://pubmed.ncbi.nlm.nih.gov/25027319/	"Functional characterization of FABP3, 5 and 7 gene variants identified in schizophrenia and autism spectrum disorder and mouse behavioral studies"	"FABP3, FABP5, FABP7"
31570775	https://pubmed.ncbi.nlm.nih.gov/31570775/	KCNH2-3.1 mediates aberrant complement activation and impaired hippocampal-medial prefrontal circuitry associated with working memory deficits	KCNH2
30784587	https://pubmed.ncbi.nlm.nih.gov/30784587/	Autism and Schizophrenia-Associated CYFIP1 Regulates the Balance of Synaptic Excitation and Inhibition	"CYFIP1, CYFIP2"
33113163	https://pubmed.ncbi.nlm.nih.gov/33113163/	Schizophrenia risk candidate EGR3 is a novel transcriptional regulator of RELN and regulates neurite outgrowth via the Reelin signal pathway in vitro	EGR3
22458949	https://pubmed.ncbi.nlm.nih.gov/22458949/	Abnormalities of the Duo/Ras-related C3 botulinum toxin substrate 1/p21-activated kinase 1 pathway drive myosin light chain phosphorylation in frontal cortex in schizophrenia	"KALRN, Cdc42, PAK1"
29423817	https://pubmed.ncbi.nlm.nih.gov/29423817/	"Characterization of Behavioral, Signaling and Cytokine Alterations in a Rat Neurodevelopmental Model for Schizophrenia, and Their Reversal by the 5-HT 6 Receptor Antagonist SB-399885"	"Cdc42, MAP2K4"
29499969	https://pubmed.ncbi.nlm.nih.gov/29499969/	Schizophrenia-associated rs4702 G allele-specific downregulation of FURIN expression by miR-338-3p reduces BDNF production	FURIN
22048463	https://pubmed.ncbi.nlm.nih.gov/22048463/	Abnormal activity of the MAPK- and cAMP-associated signaling pathways in frontal cortical areas in postmortem brain in schizophrenia	"MAPK9,RAP2A"
30243133	https://pubmed.ncbi.nlm.nih.gov/30243133/	"Relationship between schizophrenia and changes in the expression of the long non-coding RNAs Meg3, Miat, Neat1 and Neat2"	"MALAT1, NEAT1, MEG3,MIAT"
30579835	https://pubmed.ncbi.nlm.nih.gov/30579835/	Reduced SNAP25 Protein Fragmentation Contributes to SNARE Complex Dysregulation in Schizophrenia Postmortem Brain	SNAP25
21669024	https://pubmed.ncbi.nlm.nih.gov/21669024/	Regulation of munc18-1 and syntaxin-1A interactive partners in schizophrenia prefrontal cortex: down-regulation of munc18-1a isoform and 75 kDa SNARE complex after antipsychotic treatment	"STX1A, STXBP1"
30948194	https://pubmed.ncbi.nlm.nih.gov/30948194/	Impaired heme metabolism in schizophrenia-derived cell lines and in a rat model of the disorder: Possible involvement of mitochondrial complex I	"EIF2S1, FIS1 , HMOX1"
25333879	https://pubmed.ncbi.nlm.nih.gov/25333879/	Aggregation of the protein TRIOBP-1 and its potential relevance to schizophrenia	TRIOBP
27867938	https://pubmed.ncbi.nlm.nih.gov/27867938/	A Mutation in NPAS3 That Segregates with Schizophrenia in a Small Family Leads to Protein Aggregation	NPAS3
20838393	https://pubmed.ncbi.nlm.nih.gov/20838393/	The psychiatric disease risk factors DISC1 and TNIK interact to regulate synapse composition and function	TNIK
15698673	https://pubmed.ncbi.nlm.nih.gov/15698673/	The expression of retinoic acid receptor alpha is increased in the granule cells of the dentate gyrus in schizophrenia	RARA
29138398	https://pubmed.ncbi.nlm.nih.gov/29138398/	Characterization of macrophages from schizophrenia patients	"ITGAM, TREM2, P2RX7"
31606247	https://pubmed.ncbi.nlm.nih.gov/31606247/	Recapitulation and Reversal of Schizophrenia-Related Phenotypes in Setd1a-Deficient Mice	"SETD1A,MEF2, LSD1"
20580881	https://pubmed.ncbi.nlm.nih.gov/20580881/	Gene expression abnormalities and oligodendrocyte deficits in the internal capsule in schizophrenia	"CDKN1B, CDKN1C, CDKN1A, DTX1"
27008863	https://pubmed.ncbi.nlm.nih.gov/27008863/	Loss of Nicastrin from Oligodendrocytes Results in Hypomyelination and Schizophrenia with Compulsive Behavior	NCSTN
21831360	https://pubmed.ncbi.nlm.nih.gov/21831360/	Loss of function studies in mice and genetic association link receptor protein tyrosine phosphatase α to schizophrenia	PTPRA
31811028	https://pubmed.ncbi.nlm.nih.gov/31811028/	NURR1 and ERR1 Modulate the Expression of Genes of a DRD2 Coexpression Network Enriched for Schizophrenia Risk	"NURR1 (NR4A2), ERR1 (ESRRA)"
31740729	https://pubmed.ncbi.nlm.nih.gov/31740729/	Dopaminergic control of ADAMTS2 expression through cAMP/CREB and ERK: molecular effects of antipsychotics	ADAMTS2
27670918	https://pubmed.ncbi.nlm.nih.gov/27670918/	"Control of cortex development by ULK4, a rare risk gene for mental disorders including schizophrenia"	ULK4
24793756	https://pubmed.ncbi.nlm.nih.gov/24793756/	The SHP-1 expression is associated with cytokines and psychopathological status in unmedicated first episode schizophrenia patients	PTPN6
31740674	https://pubmed.ncbi.nlm.nih.gov/31740674/	Mitochondrial deficits in human iPSC-derived neurons from patients with 22q11.2 deletion syndrome and schizophrenia	"MRPL40, MT-ND1, COX1"
29496332	https://pubmed.ncbi.nlm.nih.gov/29496332/	Abnormal expression of ER quality control and ER associated degradation proteins in the dorsolateral prefrontal cortex in schizophrenia	"SYVN1, OS9, ERLEC1"
28035416	https://pubmed.ncbi.nlm.nih.gov/28035416/	Pallidin protein in neurodevelopment and its relation to the pathogenesis of schizophrenia	"HDAC3,BLOC1S6"
21772061	https://pubmed.ncbi.nlm.nih.gov/21772061/	Schizophrenia is associated with dysregulation of a Cdk5 activator that regulates synaptic protein expression and cognition	"CDK5R1,SEPTIN7"
31577955	https://pubmed.ncbi.nlm.nih.gov/31577955/	The Schizophrenia Susceptibility Gene OPCML Regulates Spine Maturation and Cognitive Behaviors through Eph-Cofilin Signaling	"OPCML, EPHB2"
27026592	https://pubmed.ncbi.nlm.nih.gov/27026592/	Opposing actions of the synapse-associated protein of 97-kDa molecular weight (SAP97) and Disrupted in Schizophrenia 1 (DISC1) on Wnt/β-catenin signaling	DLG1
23571678	https://pubmed.ncbi.nlm.nih.gov/23571678/	Dysfunction of the ubiquitin proteasome and ubiquitin-like systems in schizophrenia	"UBA6, NEDD4"
25175639	https://pubmed.ncbi.nlm.nih.gov/25175639/	Increased SP4 and SP1 transcription factor expression in the postmortem hippocampus of chronic schizophrenia	"SP4, SP1"
27132483	https://pubmed.ncbi.nlm.nih.gov/27132483/	Altered circadian clock gene expression in patients with schizophrenia	"CLOCK, PER2, CRY1"
23132271	https://pubmed.ncbi.nlm.nih.gov/23132271/	Convergent findings for abnormalities of the NF-κB signaling pathway in schizophrenia	"RELA, MAP3K7,KPNA4"
25956630	https://pubmed.ncbi.nlm.nih.gov/25956630/	Protein expression of targets of the FMRP regulon is altered in brains of subjects with schizophrenia and mood disorders	"RAC1, APP, PTPN5"
20649982	https://pubmed.ncbi.nlm.nih.gov/20649982/	FOXP2 gene and language impairment in schizophrenia: association and epigenetic studies	FOXP2
16861106	https://pubmed.ncbi.nlm.nih.gov/16861106/	"Hippocampal FGF-2 and FGFR1 mRNA expression in major depression, schizophrenia and bipolar disorder."	"FGFR1, FGF2"
24448210	https://pubmed.ncbi.nlm.nih.gov/24448210/	Novel implications of Lingo-1 and its signaling partners in schizophrenia	LINGO1
20452750	https://pubmed.ncbi.nlm.nih.gov/20452750/	"Lymphoblast and brain expression of AHI1 and the novel primate-specific gene, C6orf217, in schizophrenia and bipolar disorder"	"AHI1, LINC00271"
21423430	https://pubmed.ncbi.nlm.nih.gov/21423430/	Low Density Lipoprotein Receptor-Related Protein and Apolipoprotein E Expression is Altered in Schizophrenia	"LRP10, LRP12, APOE"
29888229	https://pubmed.ncbi.nlm.nih.gov/29888229/	Nuclear Receptors and Neuroinflammation in Schizophrenia	"RARG, RXRB, NR4A1, NR4A3"
