KEGG Pathway ID	p value	q value	Pathway Name
hsa04920	1.62E-30	3.30E-28	Adipocytokine signaling pathway
hsa04931	6.98E-27	7.11E-25	Insulin resistance
hsa04932	2.25E-24	1.53E-22	Non-alcoholic fatty liver disease (NAFLD)
hsa04933	1.74E-23	8.90E-22	AGE-RAGE signaling pathway in diabetic complications
hsa04152	8.88E-17	3.62E-15	AMPK signaling pathway
hsa04211	1.60E-16	5.44E-15	Longevity regulating pathway
hsa05164	2.32E-13	6.77E-12	Influenza A
hsa04068	5.67E-13	1.45E-11	FoxO signaling pathway
hsa04910	8.91E-13	2.02E-11	Insulin signaling pathway
hsa04630	4.79E-12	7.80E-11	JAK-STAT signaling pathway
hsa04917	4.74E-12	7.80E-11	Prolactin signaling pathway
hsa05161	4.79E-12	7.80E-11	Hepatitis B
hsa05163	4.97E-12	7.80E-11	Human cytomegalovirus infection
hsa04668	5.37E-12	7.83E-11	TNF signaling pathway
hsa04930	1.32E-11	1.80E-10	Type II diabetes mellitus
hsa05167	2.22E-11	2.83E-10	Kaposi sarcoma-associated herpesvirus infection
hsa05418	3.81E-11	4.57E-10	Fluid shear stress and atherosclerosis
hsa05010	5.88E-11	6.67E-10	Alzheimer disease
hsa04066	1.77E-10	1.90E-09	HIF-1 signaling pathway
hsa05152	3.65E-10	3.73E-09	Tuberculosis
hsa05133	5.10E-10	4.96E-09	Pertussis
hsa04151	6.07E-10	5.63E-09	PI3K-Akt signaling pathway
hsa05144	1.81E-09	1.60E-08	Malaria
hsa04657	2.31E-09	1.96E-08	IL-17 signaling pathway
hsa05160	2.95E-09	2.40E-08	Hepatitis C
hsa05134	4.08E-09	3.10E-08	Legionellosis
hsa05142	4.11E-09	3.10E-08	Chagas disease (American trypanosomiasis)
hsa04213	6.85E-09	4.99E-08	Longevity regulating pathway - multiple species
hsa04935	1.21E-08	8.49E-08	Growth hormone synthesis, secretion and action
hsa05169	2.17E-08	1.48E-07	Epstein-Barr virus infection
hsa05140	2.37E-08	1.56E-07	Leishmaniasis
hsa05205	2.63E-08	1.68E-07	Proteoglycans in cancer
hsa05162	3.37E-08	2.08E-07	Measles
hsa05166	4.38E-08	2.63E-07	Human T-cell leukemia virus 1 infection
hsa05235	6.16E-08	3.59E-07	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa04150	7.16E-08	4.03E-07	mTOR signaling pathway
hsa05222	7.51E-08	4.03E-07	Small cell lung cancer
hsa05323	7.51E-08	4.03E-07	Rheumatoid arthritis
hsa04218	7.83E-08	4.09E-07	Cellular senescence
hsa04625	1.56E-07	7.98E-07	C-type lectin receptor signaling pathway
hsa04922	1.75E-07	8.72E-07	Glucagon signaling pathway
hsa05168	2.05E-07	9.95E-07	Herpes simplex virus 1 infection
hsa05145	2.43E-07	1.15E-06	Toxoplasmosis
hsa04062	2.89E-07	1.34E-06	Chemokine signaling pathway
hsa04950	3.72E-07	1.65E-06	Maturity onset diabetes of the young
hsa05135	3.66E-07	1.65E-06	Yersinia infection
hsa04010	4.16E-07	1.75E-06	MAPK signaling pathway
hsa04060	4.16E-07	1.75E-06	Cytokine-cytokine receptor interaction
hsa05321	4.21E-07	1.75E-06	Inflammatory bowel disease (IBD)
hsa05221	4.90E-07	2.00E-06	Acute myeloid leukemia
hsa04024	7.10E-07	2.84E-06	cAMP signaling pathway
hsa01523	7.76E-07	3.01E-06	Antifolate resistance
hsa04140	7.97E-07	3.01E-06	Autophagy - animal
hsa04371	7.97E-07	3.01E-06	Apelin signaling pathway
hsa05212	9.23E-07	3.36E-06	Pancreatic cancer
hsa05220	9.23E-07	3.36E-06	Chronic myeloid leukemia
hsa05165	9.89E-07	3.54E-06	Human papillomavirus infection
hsa01521	1.12E-06	3.94E-06	EGFR tyrosine kinase inhibitor resistance
hsa04072	1.20E-06	4.16E-06	Phospholipase D signaling pathway
hsa04080	1.24E-06	4.20E-06	Neuroactive ligand-receptor interaction
hsa05410	2.14E-06	7.16E-06	Hypertrophic cardiomyopathy (HCM)
hsa05215	3.10E-06	1.02E-05	Prostate cancer
hsa04061	3.60E-06	1.17E-05	Viral protein interaction with cytokine and cytokine receptor
hsa05146	3.78E-06	1.21E-05	Amoebiasis
hsa04064	4.17E-06	1.31E-05	NF-kappa B signaling pathway
hsa04620	4.37E-06	1.35E-05	Toll-like receptor signaling pathway
hsa04659	5.02E-06	1.53E-05	Th17 cell differentiation
hsa04979	5.49E-06	1.62E-05	Cholesterol metabolism
hsa05130	5.47E-06	1.62E-05	Pathogenic Escherichia coli infection
hsa05203	7.75E-06	2.23E-05	Viral carcinogenesis
hsa05206	7.70E-06	2.23E-05	MicroRNAs in cancer
hsa04923	8.07E-06	2.29E-05	Regulation of lipolysis in adipocytes
hsa04071	8.44E-06	2.30E-05	Sphingolipid signaling pathway
hsa04722	8.44E-06	2.30E-05	ˇ
hsa05132	8.43E-06	2.30E-05	Salmonella infection
hsa04380	1.16E-05	3.11E-05	Osteoclast differentiation
hsa04210	1.61E-05	4.28E-05	Apoptosis
hsa05223	1.88E-05	4.92E-05	Non-small cell lung cancer
hsa04614	2.00E-05	5.15E-05	Renin-angiotensin system
hsa05120	2.11E-05	5.39E-05	Epithelial cell signaling in Helicobacter pylori infection
hsa01524	2.49E-05	6.23E-05	Platinum drug resistance
hsa05226	2.50E-05	6.23E-05	Gastric cancer
hsa04934	3.03E-05	7.44E-05	Cushing syndrome
hsa04217	3.42E-05	8.30E-05	Necroptosis
hsa04022	4.32E-05	1.04E-04	cGMP-PKG signaling pathway
hsa05225	4.44E-05	1.05E-04	Hepatocellular carcinoma
hsa04012	4.54E-05	1.07E-04	ErbB signaling pathway
hsa04911	4.76E-05	1.09E-04	Insulin secretion
hsa05210	4.76E-05	1.09E-04	Colorectal cancer
hsa04621	6.33E-05	1.43E-04	NOD-like receptor signaling pathway
hsa04350	6.74E-05	1.51E-04	TGF-beta signaling pathway
hsa05020	7.23E-05	1.60E-04	Prion diseases
hsa04640	7.92E-05	1.72E-04	Hematopoietic cell lineage
