KEGG Pathway ID	p value	q value	Pathway Name
hsa05016	2.81E-26	7.04E-24	Huntington disease
hsa05010	1.38E-24	1.73E-22	Alzheimer disease
hsa05012	2.37E-23	1.98E-21	Parkinson disease
hsa00190	1.16E-16	7.28E-15	Oxidative phosphorylation
hsa04932	1.01E-15	5.07E-14	Non-alcoholic fatty liver disease (NAFLD)
hsa00020	4.10E-15	1.72E-13	Citrate cycle (TCA cycle)
hsa05132	3.59E-14	1.29E-12	Salmonella infection
hsa04714	3.14E-13	9.86E-12	Thermogenesis
hsa05017	4.74E-13	1.32E-11	Spinocerebellar ataxia
hsa01200	1.48E-11	3.72E-10	Carbon metabolism
hsa03050	2.69E-11	6.15E-10	Proteasome
hsa04120	1.71E-10	3.57E-09	Ubiquitin mediated proteolysis
hsa05131	5.05E-10	9.75E-09	Shigellosis
hsa00620	4.44E-09	7.81E-08	Pyruvate metabolism
hsa03013	4.67E-09	7.81E-08	RNA transport
hsa04216	1.61E-07	2.53E-06	Ferroptosis
hsa04144	2.59E-07	3.83E-06	Endocytosis
hsa04723	3.34E-07	4.65E-06	Retrograde endocannabinoid signaling
hsa04145	4.08E-07	5.13E-06	Phagosome
hsa05166	3.92E-07	5.13E-06	Human T-cell leukemia virus 1 infection
hsa05211	4.64E-07	5.55E-06	Renal cell carcinoma
hsa04150	4.97E-07	5.67E-06	mTOR signaling pathway
hsa05230	5.19E-07	5.67E-06	Central carbon metabolism in cancer
hsa05161	8.23E-07	8.61E-06	Hepatitis B
hsa05203	1.15E-06	1.15E-05	Viral carcinogenesis
hsa04066	1.64E-06	1.58E-05	HIF-1 signaling pathway
hsa05170	1.80E-06	1.68E-05	Human immunodeficiency virus 1 infection
hsa04213	2.94E-06	2.63E-05	Longevity regulating pathway - multiple species
hsa04211	3.29E-06	2.85E-05	Longevity regulating pathway
hsa04152	3.65E-06	3.05E-05	AMPK signaling pathway
hsa04666	4.23E-06	3.42E-05	Fc gamma R-mediated phagocytosis
hsa04137	5.50E-06	4.32E-05	Mitophagy - animal
hsa05120	6.69E-06	5.09E-05	Epithelial cell signaling in Helicobacter pylori infection
hsa04141	7.56E-06	5.42E-05	Protein processing in endoplasmic reticulum
hsa05165	7.42E-06	5.42E-05	Human papillomavirus infection
hsa04140	1.08E-05	7.31E-05	Autophagy - animal
hsa05110	1.07E-05	7.31E-05	Vibrio cholerae infection
hsa05418	1.21E-05	8.00E-05	Fluid shear stress and atherosclerosis
