KEGG Pathway ID	p value	q value	Pathway Name
hsa04080	4.32E-54	1.31E-51	Neuroactive ligand-receptor interaction
hsa05010	3.51E-49	5.30E-47	Alzheimer disease
hsa05205	5.42E-46	5.46E-44	Proteoglycans in cancer
hsa04151	1.86E-43	1.40E-41	PI3K-Akt signaling pathway
hsa04010	3.85E-37	2.32E-35	MAPK signaling pathway
hsa05165	4.98E-37	2.51E-35	Human papillomavirus infection
hsa05167	1.20E-36	5.18E-35	Kaposi sarcoma-associated herpesvirus infection
hsa05215	1.70E-36	6.42E-35	Prostate cancer
hsa05163	8.94E-36	3.00E-34	Human cytomegalovirus infection
hsa04211	4.97E-35	1.50E-33	Longevity regulating pathway
hsa05166	8.29E-35	2.28E-33	Human T-cell leukemia virus 1 infection
hsa05418	1.52E-34	3.82E-33	Fluid shear stress and atherosclerosis
hsa04024	2.52E-34	5.86E-33	cAMP signaling pathway
hsa05161	2.56E-32	5.53E-31	Hepatitis B
hsa04722	3.46E-32	6.96E-31	Neurotrophin signaling pathway
hsa04068	7.26E-32	1.37E-30	FoxO signaling pathway
hsa04140	9.52E-32	1.69E-30	Autophagy - animal
hsa01521	2.47E-30	4.14E-29	EGFR tyrosine kinase inhibitor resistance
hsa04066	6.40E-30	9.82E-29	HIF-1 signaling pathway
hsa04660	6.50E-30	9.82E-29	T cell receptor signaling pathway
hsa04933	1.07E-29	1.54E-28	AGE-RAGE signaling pathway in diabetic complications
hsa04932	1.42E-29	1.95E-28	Non-alcoholic fatty liver disease (NAFLD)
hsa05031	1.67E-29	2.19E-28	Amphetamine addiction
hsa04218	2.19E-29	2.75E-28	Cellular senescence
hsa04625	8.69E-29	1.05E-27	C-type lectin receptor signaling pathway
hsa05135	1.00E-28	1.17E-27	Yersinia infection
hsa04728	1.54E-28	1.72E-27	Dopaminergic synapse
hsa05030	2.05E-28	2.21E-27	Cocaine addiction
hsa01522	2.46E-28	2.51E-27	Endocrine resistance
hsa05131	2.50E-28	2.51E-27	Shigellosis
hsa04668	3.45E-28	3.36E-27	TNF signaling pathway
hsa05206	3.66E-28	3.45E-27	MicroRNAs in cancer
hsa04724	9.98E-27	9.14E-26	Glutamatergic synapse
hsa05224	5.11E-26	4.54E-25	Breast cancer
hsa05152	5.70E-26	4.92E-25	Tuberculosis
hsa04014	2.09E-25	1.75E-24	Ras signaling pathway
hsa04380	2.15E-25	1.76E-24	Osteoclast differentiation
hsa05133	5.17E-25	4.11E-24	Pertussis
hsa05221	5.69E-25	4.41E-24	Acute myeloid leukemia
hsa04659	6.31E-25	4.76E-24	Th17 cell differentiation
hsa05017	2.09E-24	1.54E-23	Spinocerebellar ataxia
hsa05169	3.54E-24	2.54E-23	Epstein-Barr virus infection
hsa04150	4.73E-24	3.32E-23	mTOR signaling pathway
hsa05160	6.55E-24	4.39E-23	Hepatitis C
hsa05225	6.44E-24	4.39E-23	Hepatocellular carcinoma
hsa04015	7.68E-24	4.99E-23	Rap1 signaling pathway
hsa05212	7.76E-24	4.99E-23	Pancreatic cancer
