KEGG Pathway ID	p value	q value	Pathway Name
hsa04080	5.38E-53	1.57E-50	Neuroactive ligand-receptor interaction
hsa05010	1.99E-32	2.90E-30	Alzheimer disease
hsa05205	1.85E-30	1.80E-28	Proteoglycans in cancer
hsa04024	3.39E-28	2.47E-26	cAMP signaling pathway
hsa05418	3.08E-26	1.79E-24	Fluid shear stress and atherosclerosis
hsa05166	4.10E-26	1.99E-24	Human T-cell leukemia virus 1 infection
hsa05030	5.95E-26	2.47E-24	Cocaine addiction
hsa05031	2.67E-25	9.71E-24	Amphetamine addiction
hsa04151	8.04E-25	2.60E-23	PI3K-Akt signaling pathway
hsa04010	1.78E-24	5.19E-23	MAPK signaling pathway
hsa04933	2.44E-23	6.44E-22	AGE-RAGE signaling pathway in diabetic complications
hsa05167	1.01E-21	2.27E-20	Kaposi sarcoma-associated herpesvirus infection
hsa05215	9.84E-22	2.27E-20	Prostate cancer
hsa04726	3.32E-21	6.89E-20	Serotonergic synapse
hsa04020	4.26E-21	8.27E-20	Calcium signaling pathway
hsa04724	4.68E-21	8.52E-20	Glutamatergic synapse
hsa05163	1.30E-20	2.23E-19	Human cytomegalovirus infection
hsa05161	2.07E-20	3.34E-19	Hepatitis B
hsa05165	2.93E-20	4.49E-19	Human papillomavirus infection
hsa04657	3.83E-20	5.30E-19	IL-17 signaling pathway
hsa05140	3.80E-20	5.30E-19	Leishmaniasis
hsa04625	1.40E-19	1.85E-18	C-type lectin receptor signaling pathway
hsa04728	1.53E-19	1.94E-18	Dopaminergic synapse
hsa05133	4.87E-19	5.91E-18	Pertussis
hsa04934	1.30E-18	1.51E-17	Cushing syndrome
hsa04668	1.95E-18	2.10E-17	TNF signaling pathway
hsa04722	1.92E-18	2.10E-17	Neurotrophin signaling pathway
hsa05142	6.53E-18	6.79E-17	Chagas disease (American trypanosomiasis)
hsa05164	6.90E-18	6.92E-17	Influenza A
hsa04723	1.13E-17	1.10E-16	Retrograde endocannabinoid signaling
hsa04713	1.17E-17	1.10E-16	Circadian entrainment
hsa05135	2.12E-17	1.93E-16	Yersinia infection
hsa05134	3.53E-17	3.11E-16	Legionellosis
hsa05321	1.05E-16	8.97E-16	Inflammatory bowel disease (IBD)
hsa04015	1.28E-16	1.07E-15	Rap1 signaling pathway
hsa04380	1.44E-16	1.16E-15	Osteoclast differentiation
hsa05203	1.86E-16	1.46E-15	Viral carcinogenesis
hsa05221	2.45E-16	1.88E-15	Acute myeloid leukemia
hsa05152	2.97E-16	2.22E-15	Tuberculosis
hsa05160	3.95E-16	2.87E-15	Hepatitis C
hsa05224	4.12E-16	2.92E-15	Breast cancer
hsa04621	4.46E-16	3.09E-15	NOD-like receptor signaling pathway
hsa04066	4.81E-16	3.25E-15	HIF-1 signaling pathway
hsa05014	4.99E-16	3.30E-15	Amyotrophic lateral sclerosis (ALS)
hsa05012	8.68E-16	5.61E-15	Parkinson disease
hsa04660	9.26E-16	5.86E-15	T cell receptor signaling pathway
hsa05225	1.07E-15	6.60E-15	Hepatocellular carcinoma
hsa04921	1.99E-15	1.21E-14	Oxytocin signaling pathway
hsa05016	2.49E-15	1.48E-14	Huntington disease
hsa04218	3.07E-15	1.79E-14	Cellular senescence
hsa04932	4.16E-15	2.37E-14	Non-alcoholic fatty liver disease (NAFLD)
hsa04935	7.08E-15	3.96E-14	Growth hormone synthesis, secretion and action
hsa04630	1.07E-14	5.90E-14	JAK-STAT signaling pathway
hsa05226	2.55E-14	1.37E-13	Gastric cancer
hsa05132	4.45E-14	2.35E-13	Salmonella infection
hsa01522	4.97E-14	2.58E-13	Endocrine resistance
hsa05145	6.17E-14	3.15E-13	Toxoplasmosis
hsa05206	6.97E-14	3.50E-13	MicroRNAs in cancer
hsa05033	7.58E-14	3.74E-13	Nicotine addiction
hsa04725	7.92E-14	3.84E-13	Cholinergic synapse
hsa04659	1.25E-13	5.95E-13	Th17 cell differentiation
hsa04022	1.60E-13	7.50E-13	cGMP-PKG signaling pathway
hsa05210	1.85E-13	8.56E-13	Colorectal cancer
hsa01521	1.90E-13	8.66E-13	EGFR tyrosine kinase inhibitor resistance
hsa04062	3.02E-13	1.35E-12	Chemokine signaling pathway
hsa05235	4.39E-13	1.94E-12	PD-L1 expression and PD-1 checkpoint pathway in cancer
hsa04919	5.26E-13	2.28E-12	Thyroid hormone signaling pathway
hsa04060	5.40E-13	2.29E-12	Cytokine-cytokine receptor interaction
hsa05162	5.44E-13	2.29E-12	Measles
hsa04014	5.70E-13	2.37E-12	Ras signaling pathway
hsa04928	6.88E-13	2.82E-12	Parathyroid hormone synthesis, secretion and action
hsa05169	1.82E-12	7.37E-12	Epstein-Barr virus infection
hsa05130	2.04E-12	8.14E-12	Pathogenic Escherichia coli infection
hsa04210	2.11E-12	8.31E-12	Apoptosis
hsa05131	2.37E-12	9.18E-12	Shigellosis
hsa04710	2.44E-12	9.33E-12	Circadian rhythm
hsa04620	2.91E-12	1.10E-11	Toll-like receptor signaling pathway
