PMID	PubMed Link	Title
12453904	https://pubmed.ncbi.nlm.nih.gov/12453904	Mechanisms of the triglyceride- and cholesterol-lowering effect of fenofibrate in hyperlipidemic type 2 diabetic patients.
1639386	https://pubmed.ncbi.nlm.nih.gov/1639386	A microsatellite polymorphism associated with the PLC1 (phospholipase C) locus: identification, mapping, and linkage to the MODY locus on chromosome 20.
16631114	https://pubmed.ncbi.nlm.nih.gov/16631114	Increased expression levels of monocyte CCR2 and monocyte chemoattractant protein-1 in patients with diabetes mellitus.
17428349	https://pubmed.ncbi.nlm.nih.gov/17428349	Association of TGFbeta1, TNFalpha, CCR2 and CCR5 gene polymorphisms in type-2 diabetes and renal insufficiency among Asian Indians.
18078928	https://pubmed.ncbi.nlm.nih.gov/18078928	Cross talk of tumor necrosis factor-alpha and the renin-angiotensin system in tumor necrosis factor-alpha-induced plasminogen activator inhibitor-1 production from hepatocytes.
18270459	https://pubmed.ncbi.nlm.nih.gov/18270459	HMG-CoA reductase inhibitor, simvastatin improves reverse cholesterol transport in type 2 diabetic patients with hyperlipidemia.
18366720	https://pubmed.ncbi.nlm.nih.gov/18366720	Association of dopaminergic pathway gene polymorphisms with chronic renal insufficiency among Asian Indians with type-2 diabetes.
18433755	https://pubmed.ncbi.nlm.nih.gov/18433755	Type 2 diabetes mellitus and endothelial lipase.
18537101	https://pubmed.ncbi.nlm.nih.gov/18537101	Genetic analysis of the soluble epoxide hydrolase gene, EPHX2, in subclinical cardiovascular disease in the Diabetes Heart Study.
18959829	https://pubmed.ncbi.nlm.nih.gov/18959829	Mediators of sympathetic activation in metabolic syndrome obesity.
18985387	https://pubmed.ncbi.nlm.nih.gov/18985387	Genetic variants in the renin-angiotensin system genes are associated with cardiovascular-renal-related risk factors in Mexican Americans.
19243623	https://pubmed.ncbi.nlm.nih.gov/19243623	Analysis of renin-angiotensin aldosterone system gene polymorphisms in Malaysian essential hypertensive and type 2 diabetic subjects.
19833879	https://pubmed.ncbi.nlm.nih.gov/19833879	Complement factor H is expressed in adipose tissue in association with insulin resistance.
19940327	https://pubmed.ncbi.nlm.nih.gov/19940327	[Resistin: a pathogenic factor or a biomarker of metabolic disorders and inflammation?].
20017725	https://pubmed.ncbi.nlm.nih.gov/20017725	Should adipokines be considered in the choice of the treatment of obesity-related health problems?
20538029	https://pubmed.ncbi.nlm.nih.gov/20538029	Complement receptor 1 gene polymorphism and cardiovascular disease in dialyzed end-stage renal disease patients.
20555330	https://pubmed.ncbi.nlm.nih.gov/20555330	Improvement of endothelial function in patients with hypertension and type 2 diabetes after treatment with telmisartan.
20566590	https://pubmed.ncbi.nlm.nih.gov/20566590	Association of the type 2 deiodinase Thr92Ala polymorphism with type 2 diabetes: case-control study and meta-analysis.
20580725	https://pubmed.ncbi.nlm.nih.gov/20580725	Genotypic interactions of renin-angiotensin system genes with diabetes type 2 in a Tunisian population.
20582734	https://pubmed.ncbi.nlm.nih.gov/20582734	Hypertension management and microvascular insulin resistance in diabetes.
20592051	https://pubmed.ncbi.nlm.nih.gov/20592051	Interactions among related genes of renin-angiotensin system associated with type 2 diabetes.
20626344	https://pubmed.ncbi.nlm.nih.gov/20626344	The effect of antihypertensive agents on insulin sensitivity, lipids and haemostasis.
20950886	https://pubmed.ncbi.nlm.nih.gov/20950886	Serum 14-3-3; matrix metalloproteinases and their inhibitors' levels before and after cardiovascular surgery in diabetic and non-diabetic patients.
21042792	https://pubmed.ncbi.nlm.nih.gov/21042792	Genetic variation within the NR1H2 gene encoding liver X receptor β associates with insulin secretion in subjects at increased risk for type 2 diabetes.
21227015	https://pubmed.ncbi.nlm.nih.gov/21227015	Circulating serum matrix metalloproteinase-3 and metalloproteinase-9 are not associated with echocardiographic parameters of diastolic function in asymptomatic type 2 diabetic patients.
21289263	https://pubmed.ncbi.nlm.nih.gov/21289263	The effect of very-low-calorie diet on mRNA expression of inflammation-related genes in subcutaneous adipose tissue and peripheral monocytes of obese patients with type 2 diabetes mellitus.
21525510	https://pubmed.ncbi.nlm.nih.gov/21525510	Fractalkine is a novel human adipochemokine associated with type 2 diabetes.
21829447	https://pubmed.ncbi.nlm.nih.gov/21829447	Type 2 diabetes is associated with reduced ATP-binding cassette transporter A1 gene expression, protein and function.
22330623	https://pubmed.ncbi.nlm.nih.gov/22330623	Association of manganese superoxide dismutase and glutathione S-transferases genotypes with carotid atherosclerosis in patients with diabetes mellitus type 2.
22377702	https://pubmed.ncbi.nlm.nih.gov/22377702	GSTT1 null genotype is a risk factor for diabetic retinopathy in Caucasians with type 2 diabetes, whereas GSTM1 null genotype might confer protection against retinopathy.
22543247	https://pubmed.ncbi.nlm.nih.gov/22543247	Selective estrogen receptor modulation in pancreatic β-cells and the prevention of type 2 diabetes.
22564979	https://pubmed.ncbi.nlm.nih.gov/22564979	Molecular mechanisms of estrogen receptors' suppression of lipogenesis in pancreatic β-cells.
22652274	https://pubmed.ncbi.nlm.nih.gov/22652274	The role of GSTM1, GSTT1, GSTP1, and OGG1 polymorphisms in type 2 diabetes mellitus risk: a case-control study in a Turkish population.
22689120	https://pubmed.ncbi.nlm.nih.gov/22689120	[The role of endothelial lipase in atherogenesis].
22745245	https://pubmed.ncbi.nlm.nih.gov/22745245	Sitagliptin exerts an antinflammatory action.
22761857	https://pubmed.ncbi.nlm.nih.gov/22761857	Satellite cells derived from obese humans with type 2 diabetes and differentiated into myocytes in vitro exhibit abnormal response to IL-6.
22809065	https://pubmed.ncbi.nlm.nih.gov/22809065	Effect of eriodictyol on glucose uptake and insulin resistance in vitro.
22821644	https://pubmed.ncbi.nlm.nih.gov/22821644	Telmisartan at 80 mg/day increases high-molecular-weight adiponectin levels and improves insulin resistance in diabetic patients.
23014993	https://pubmed.ncbi.nlm.nih.gov/23014993	Study of the association between glutathione S-transferase (GSTM1, GSTT1, GSTP1) polymorphisms with type II diabetes mellitus in southern of Iran.
23086036	https://pubmed.ncbi.nlm.nih.gov/23086036	Altered response of skeletal muscle to IL-6 in type 2 diabetic patients.
23134541	https://pubmed.ncbi.nlm.nih.gov/23134541	Examining the safety of PPAR agonists - current trends and future prospects.
23147557	https://pubmed.ncbi.nlm.nih.gov/23147557	PPAR-γ2 and PTPRD gene polymorphisms influence type 2 diabetes patients' response to pioglitazone in China.
23238572	https://pubmed.ncbi.nlm.nih.gov/23238572	Genetic impact on uric acid concentration and hyperuricemia in the Japanese population.
23349674	https://pubmed.ncbi.nlm.nih.gov/23349674	Arsenic exposure and calpain-10 polymorphisms impair the function of pancreatic beta-cells in humans: a pilot study of risk factors for T2DM.
23466101	https://pubmed.ncbi.nlm.nih.gov/23466101	Adiponectin increases macrophages cholesterol efflux and suppresses foam cell formation in patients with type 2 diabetes mellitus.
23864767	https://pubmed.ncbi.nlm.nih.gov/23864767	Association of CFH and CFB gene polymorphisms with retinopathy in type 2 diabetic patients.
24081379	https://pubmed.ncbi.nlm.nih.gov/24081379	Risk factors for development of dementia in a unique six-year cohort study. I. An exploratory, pilot study of involvement of the E4 allele of apolipoprotein E, mutations of the hemochromatosis-HFE gene, type 2 diabetes, and stroke.
24381101	https://pubmed.ncbi.nlm.nih.gov/24381101	Variations in the GST activity are associated with single and combinations of GST genotypes in both male and female diabetic patients.
24414038	https://pubmed.ncbi.nlm.nih.gov/24414038	Association of four insulin resistance genes with type 2 diabetes mellitus and hypertension in the Chinese Han population.
24574346	https://pubmed.ncbi.nlm.nih.gov/24574346	Glycation of apolipoprotein C1 impairs its CETP inhibitory property: pathophysiological relevance in patients with type 1 and type 2 diabetes.
24603685	https://pubmed.ncbi.nlm.nih.gov/24603685	Genome-wide DNA methylation analysis of human pancreatic islets from type 2 diabetic and non-diabetic donors identifies candidate genes that influence insulin secretion.
24724616	https://pubmed.ncbi.nlm.nih.gov/24724616	Sex-specific effects of naturally occurring variants in the dopamine receptor D2 locus on insulin secretion and type 2 diabetes susceptibility.
24739563	https://pubmed.ncbi.nlm.nih.gov/24739563	[Study on the association between catechol-O-methyltransferase gene polymorphisms and type 2 diabetes mellitus].
24770746	https://pubmed.ncbi.nlm.nih.gov/24770746	System of matrix metalloproteinases and cytokine secretion in type 2 diabetes mellitus and impaired carbohydrate tolerance associated with arterial hypertension.
25105294	https://pubmed.ncbi.nlm.nih.gov/25105294	The rs225017 polymorphism in the 3'UTR of the human DIO2 gene is associated with increased insulin resistance.
25894261	https://pubmed.ncbi.nlm.nih.gov/25894261	[Treatment of GLP1 receptor agonists and body mass control].
25923461	https://pubmed.ncbi.nlm.nih.gov/25923461	IGF2, LEPR, POMC, PPARG, and PPARGC1 gene variants are associated with obesity-related risk phenotypes in Brazilian children and adolescents.
25927430	https://pubmed.ncbi.nlm.nih.gov/25927430	Association of DRD3, COMT, and SLC6A4 Gene Polymorphisms with Type 2 Diabetes in Southern Chinese: A Hospital-Based Case-Control Study.
25932787	https://pubmed.ncbi.nlm.nih.gov/25932787	Analysis of oxidative DNA damage and its repair in Polish patients with diabetes mellitus type 2: Role in pathogenesis of diabetic neuropathy.
25976242	https://pubmed.ncbi.nlm.nih.gov/25976242	GCKR polymorphism influences liver fat content in patients with type 2 diabetes.
26161693	https://pubmed.ncbi.nlm.nih.gov/26161693	Methylenetetrahydrofolate reductase (MTHFR) C677T gene polymorphism and diabetic nephropathy susceptibility in patients with type 2 diabetes mellitus.
26169365	https://pubmed.ncbi.nlm.nih.gov/26169365	Susceptible gene of stasis-stagnation constitution from genome-wide association study related to cardiovascular disturbance and possible regulated traditional Chinese medicine.
26318958	https://pubmed.ncbi.nlm.nih.gov/26318958	Association of APOE polymorphisms with diabetes and cardiometabolic risk factors and the role of APOE genotypes in response to anti-diabetic therapy: results from the AIDHS/SDS on a South Asian population.
26420861	https://pubmed.ncbi.nlm.nih.gov/26420861	Protein Biomarkers for Insulin Resistance and Type 2 Diabetes Risk in Two Large Community Cohorts.
26500005	https://pubmed.ncbi.nlm.nih.gov/26500005	Erectile dysfunction and diabetes: Association with the impairment of lipid metabolism and oxidative stress.
26505916	https://pubmed.ncbi.nlm.nih.gov/26505916	Amyloid β25-35 induced ROS-burst through NADPH oxidase is sensitive to iron chelation in microglial Bv2 cells.
26515422	https://pubmed.ncbi.nlm.nih.gov/26515422	Discrete associations of the GCKR variant with metabolic risk in a Chinese population: longitudinal change analysis.
26578543	https://pubmed.ncbi.nlm.nih.gov/26578543	Lifestyle Intervention for Weight Loss and Cardiometabolic Changes in the Setting of Glucokinase Regulatory Protein Inhibition: Glucokinase Regulatory Protein-Leu446Pro Variant in Look AHEAD.
26800892	https://pubmed.ncbi.nlm.nih.gov/26800892	Apolipoprotein E gene polymorphism and risk of type 2 diabetes and cardiovascular disease.
26881255	https://pubmed.ncbi.nlm.nih.gov/26881255	The Expression of miR-192 and Its Significance in Diabetic Nephropathy Patients with Different Urine Albumin Creatinine Ratio.
26901047	https://pubmed.ncbi.nlm.nih.gov/26901047	Serum TGF-β1 as a Biomarker for Type 2 Diabetic Nephropathy: A Meta-Analysis of Randomized Controlled Trials.
26934823	https://pubmed.ncbi.nlm.nih.gov/26934823	Plasma apolipoprotein C1 concentration is associated with plasma triglyceride concentration, but not visceral fat, in patients with type 2 diabetes.
26993665	https://pubmed.ncbi.nlm.nih.gov/26993665	Association between serum uric acid related genetic loci and diabetic kidney disease in the Chinese type 2 diabetes patients.
27012037	https://pubmed.ncbi.nlm.nih.gov/27012037	Association between Leptin G2548A and Leptin Receptor Q223R Polymorphisms with Type 2 Diabetes in an Iranian Population.
27019630	https://pubmed.ncbi.nlm.nih.gov/27019630	Hyperglycemia Differentially Affects Maternal and Fetal DNA Integrity and DNA Damage Response.
27019630	https://pubmed.ncbi.nlm.nih.gov/27019630	Hyperglycemia Differentially Affects Maternal and Fetal DNA Integrity and DNA Damage Response.
27077117	https://pubmed.ncbi.nlm.nih.gov/27077117	Biomarkers for Early Diagnostic of Mild Cognitive Impairment in Type-2 Diabetes Patients: A Multicentre, Retrospective, Nested Case-Control Study.
27146014	https://pubmed.ncbi.nlm.nih.gov/27146014	Hormonal and Metabolite Regulation of Hepatic Glucokinase.
27195302	https://pubmed.ncbi.nlm.nih.gov/27195302	"Variations in the Obesity Gene ""LEPR"" Contribute to Risk of Type 2 Diabetes Mellitus: Evidence from a Meta-Analysis."
27219877	https://pubmed.ncbi.nlm.nih.gov/27219877	Women Transmits Type 2 Diabetes Mellitus (T2DM) More Than Men: Evidences from Parental Inheritance of T2DM Among Bahrainis.
27247335	https://pubmed.ncbi.nlm.nih.gov/27247335	Novel Biomarkers to Improve the Prediction of Cardiovascular Event Risk in Type 2 Diabetes Mellitus.
27282867	https://pubmed.ncbi.nlm.nih.gov/27282867	Catechol-O-methyltransferase association with hemoglobin A1c.
27328642	https://pubmed.ncbi.nlm.nih.gov/27328642	Serum Uric Acid Levels were Dynamically Coupled with Hemoglobin A1c in the Development of Type 2 Diabetes.
27368697	https://pubmed.ncbi.nlm.nih.gov/27368697	Glutathione S-Transferase Pi-Ile 105 Val Polymorphism and Susceptibility to T2DM in Population from Turabah Region of Saudi Arabia.
27448715	https://pubmed.ncbi.nlm.nih.gov/27448715	Epoxyeicosatrienoic acids and glucose homeostasis in mice and men.
27455017	https://pubmed.ncbi.nlm.nih.gov/27455017	[Association of GCKR gene polymorphisms and type 2 diabetes among ethnic Uygurs].
27490532	https://pubmed.ncbi.nlm.nih.gov/27490532	Serum Concentrations of Endothelin-1 and Matrix Metalloproteinases-2, -9 in Pre-Hypertensive and Hypertensive Patients with Type 2 Diabetes.
27553771	https://pubmed.ncbi.nlm.nih.gov/27553771	Interaction of BDNF rs6265 variants and energy and protein intake in the risk for glucose intolerance and type 2 diabetes in middle-aged adults.
27554451	https://pubmed.ncbi.nlm.nih.gov/27554451	The GCKR Gene Polymorphism rs780094 is a Risk Factor for Gestational Diabetes in a Brazilian Population.
27596057	https://pubmed.ncbi.nlm.nih.gov/27596057	Recent advances in exploring the genetic susceptibility to diabetic neuropathy.
27607899	https://pubmed.ncbi.nlm.nih.gov/27607899	Association between LEKR1-CCNL1 and IGSF21-KLHDC7A gene polymorphisms and diabetic retinopathy of type 2 diabetes mellitus in the Chinese Han population.
27657457	https://pubmed.ncbi.nlm.nih.gov/27657457	The association between leptin receptor gene polymorphisms and type 2 diabetes mellitus: A systematic review and meta-analysis.
27660121	https://pubmed.ncbi.nlm.nih.gov/27660121	A Common Gene Variant in Glucokinase Regulatory Protein Interacts With Glucose Metabolism on Diabetic Dyslipidemia: the Combined CODAM and Hoorn Studies.
27721418	https://pubmed.ncbi.nlm.nih.gov/27721418	Mesenchymal stem cell therapy ameliorates diabetic nephropathy via the paracrine effect of renal trophic factors including exosomes.
27983710	https://pubmed.ncbi.nlm.nih.gov/27983710	Additive Interaction of MTHFR C677T and MTRR A66G Polymorphisms with Being Overweight/Obesity on the Risk of Type 2 Diabetes.
28043717	https://pubmed.ncbi.nlm.nih.gov/28043717	Protein tyrosine phosphatase 1B inhibitors as antidiabetic agents - A brief review.
28044060	https://pubmed.ncbi.nlm.nih.gov/28044060	Molecular interaction between type 2 diabetes and Alzheimer's disease through cross-seeding of protein misfolding.
28269785	https://pubmed.ncbi.nlm.nih.gov/28269785	The Link between Type 2 Diabetes and Neurodegeneration: Roles for Amyloid-β, Amylin, and Tau Proteins.
28285098	https://pubmed.ncbi.nlm.nih.gov/28285098	Role of leptin as a link between metabolism and the immune system.
28294581	https://pubmed.ncbi.nlm.nih.gov/28294581	Plasma soluble leptin receptor levels are associated with pancreatic β-cell dysfunction in patients with type 2 diabetes.
28328533	https://pubmed.ncbi.nlm.nih.gov/28328533	Plasma but not serum brain-derived neurotrophic factor concentration is decreased by oral glucose tolerance test-induced hyperglycemia in children.
28336215	https://pubmed.ncbi.nlm.nih.gov/28336215	Association of increased levels of MCP-1 and cathepsin-D in young onset type 2 diabetes patients (T2DM-Y) with severity of diabetic retinopathy.
28467723	https://pubmed.ncbi.nlm.nih.gov/28467723	Does Metformin Protect Diabetic Patients from Oxidative Stress and Leukocyte-Endothelium Interactions?
28495321	https://pubmed.ncbi.nlm.nih.gov/28495321	Increased salivary oxidative stress parameters in patients with type 2 diabetes: Relation with periodontal disease.
28550262	https://pubmed.ncbi.nlm.nih.gov/28550262	Increased Plasma Homocysteine Level is Associated with Executive Dysfunction in Type 2 Diabetic Patients with Mild Cognitive Impairment.
28569437	https://pubmed.ncbi.nlm.nih.gov/28569437	Tumor Necrosis Factor-Alpha: Role in Development of Insulin Resistance and Pathogenesis of Type 2 Diabetes Mellitus.
28579313	https://pubmed.ncbi.nlm.nih.gov/28579313	The Impact of Probiotic Soy Milk Consumption on Oxidative Stress Among Type 2 Diabetic Kidney Disease Patients: A Randomized Controlled Clinical Trial.
28595187	https://pubmed.ncbi.nlm.nih.gov/28595187	rs10767664 Gene Variant in Brain-Derived Neurotrophic Factor Is Associated with Diabetes Mellitus Type 2 in Caucasian Females with Obesity.
28604974	https://pubmed.ncbi.nlm.nih.gov/28604974	[Study on the CFHR1 level and its genetic polymorphisms in type 2 diabetes mellitus patients].
